target_split,source_split,relative_path,source_name,sequence_index,sequence_group,D00,D10,D20,D40
train,train,China_MotorBike_000400.jpg,China_MotorBike,400,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000401.jpg,China_MotorBike,401,China_MotorBike:000004,0,2,0,0
train,train,China_MotorBike_000402.jpg,China_MotorBike,402,China_MotorBike:000004,0,0,0,1
train,train,China_MotorBike_000403.jpg,China_MotorBike,403,China_MotorBike:000004,1,1,0,0
train,train,China_MotorBike_000404.jpg,China_MotorBike,404,China_MotorBike:000004,0,0,1,0
train,train,China_MotorBike_000405.jpg,China_MotorBike,405,China_MotorBike:000004,1,0,3,0
train,train,China_MotorBike_000406.jpg,China_MotorBike,406,China_MotorBike:000004,3,3,0,0
train,train,China_MotorBike_000407.jpg,China_MotorBike,407,China_MotorBike:000004,0,0,0,2
train,train,China_MotorBike_000408.jpg,China_MotorBike,408,China_MotorBike:000004,0,0,0,1
train,train,China_MotorBike_000409.jpg,China_MotorBike,409,China_MotorBike:000004,1,2,0,0
train,train,China_MotorBike_000410.jpg,China_MotorBike,410,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000411.jpg,China_MotorBike,411,China_MotorBike:000004,1,1,0,0
train,train,China_MotorBike_000412.jpg,China_MotorBike,412,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000413.jpg,China_MotorBike,413,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000414.jpg,China_MotorBike,414,China_MotorBike:000004,2,2,0,0
train,train,China_MotorBike_000415.jpg,China_MotorBike,415,China_MotorBike:000004,1,1,0,0
train,train,China_MotorBike_000416.jpg,China_MotorBike,416,China_MotorBike:000004,0,0,1,0
train,train,China_MotorBike_000417.jpg,China_MotorBike,417,China_MotorBike:000004,4,2,0,0
train,train,China_MotorBike_000418.jpg,China_MotorBike,418,China_MotorBike:000004,0,1,0,0
train,val,China_MotorBike_000419.jpg,China_MotorBike,419,China_MotorBike:000004,5,3,1,3
train,train,China_MotorBike_000420.jpg,China_MotorBike,420,China_MotorBike:000004,2,2,0,0
train,train,China_MotorBike_000421.jpg,China_MotorBike,421,China_MotorBike:000004,0,0,1,0
train,train,China_MotorBike_000422.jpg,China_MotorBike,422,China_MotorBike:000004,1,1,0,1
train,train,China_MotorBike_000423.jpg,China_MotorBike,423,China_MotorBike:000004,2,0,0,0
train,train,China_MotorBike_000424.jpg,China_MotorBike,424,China_MotorBike:000004,6,0,0,0
train,train,China_MotorBike_000425.jpg,China_MotorBike,425,China_MotorBike:000004,1,1,0,0
train,train,China_MotorBike_000426.jpg,China_MotorBike,426,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000427.jpg,China_MotorBike,427,China_MotorBike:000004,2,0,0,0
train,train,China_MotorBike_000428.jpg,China_MotorBike,428,China_MotorBike:000004,1,1,0,0
train,train,China_MotorBike_000429.jpg,China_MotorBike,429,China_MotorBike:000004,1,0,1,0
train,train,China_MotorBike_000430.jpg,China_MotorBike,430,China_MotorBike:000004,3,0,0,0
train,train,China_MotorBike_000431.jpg,China_MotorBike,431,China_MotorBike:000004,2,0,0,0
train,val,China_MotorBike_000432.jpg,China_MotorBike,432,China_MotorBike:000004,0,2,0,0
train,train,China_MotorBike_000433.jpg,China_MotorBike,433,China_MotorBike:000004,2,0,0,0
train,train,China_MotorBike_000434.jpg,China_MotorBike,434,China_MotorBike:000004,0,0,0,0
train,train,China_MotorBike_000435.jpg,China_MotorBike,435,China_MotorBike:000004,2,2,0,0
train,train,China_MotorBike_000436.jpg,China_MotorBike,436,China_MotorBike:000004,4,0,0,0
train,train,China_MotorBike_000437.jpg,China_MotorBike,437,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000438.jpg,China_MotorBike,438,China_MotorBike:000004,0,0,2,0
train,train,China_MotorBike_000439.jpg,China_MotorBike,439,China_MotorBike:000004,3,1,0,0
train,val,China_MotorBike_000440.jpg,China_MotorBike,440,China_MotorBike:000004,1,2,0,0
train,train,China_MotorBike_000441.jpg,China_MotorBike,441,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000442.jpg,China_MotorBike,442,China_MotorBike:000004,1,0,1,0
train,val,China_MotorBike_000443.jpg,China_MotorBike,443,China_MotorBike:000004,2,0,0,0
train,train,China_MotorBike_000444.jpg,China_MotorBike,444,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000445.jpg,China_MotorBike,445,China_MotorBike:000004,0,0,1,0
train,train,China_MotorBike_000446.jpg,China_MotorBike,446,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000447.jpg,China_MotorBike,447,China_MotorBike:000004,0,0,1,0
train,train,China_MotorBike_000448.jpg,China_MotorBike,448,China_MotorBike:000004,1,0,2,1
train,train,China_MotorBike_000449.jpg,China_MotorBike,449,China_MotorBike:000004,1,0,0,0
train,val,China_MotorBike_000450.jpg,China_MotorBike,450,China_MotorBike:000004,0,2,0,0
train,train,China_MotorBike_000451.jpg,China_MotorBike,451,China_MotorBike:000004,0,2,0,0
train,val,China_MotorBike_000452.jpg,China_MotorBike,452,China_MotorBike:000004,0,2,0,0
train,train,China_MotorBike_000453.jpg,China_MotorBike,453,China_MotorBike:000004,0,0,0,2
train,train,China_MotorBike_000454.jpg,China_MotorBike,454,China_MotorBike:000004,1,1,0,0
train,train,China_MotorBike_000455.jpg,China_MotorBike,455,China_MotorBike:000004,0,1,0,0
train,val,China_MotorBike_000456.jpg,China_MotorBike,456,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000457.jpg,China_MotorBike,457,China_MotorBike:000004,1,1,2,0
train,train,China_MotorBike_000458.jpg,China_MotorBike,458,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000459.jpg,China_MotorBike,459,China_MotorBike:000004,0,2,1,0
train,train,China_MotorBike_000460.jpg,China_MotorBike,460,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000461.jpg,China_MotorBike,461,China_MotorBike:000004,0,2,0,0
train,train,China_MotorBike_000462.jpg,China_MotorBike,462,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000463.jpg,China_MotorBike,463,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000464.jpg,China_MotorBike,464,China_MotorBike:000004,1,2,0,0
train,train,China_MotorBike_000465.jpg,China_MotorBike,465,China_MotorBike:000004,4,0,0,0
train,train,China_MotorBike_000466.jpg,China_MotorBike,466,China_MotorBike:000004,0,3,0,0
train,train,China_MotorBike_000467.jpg,China_MotorBike,467,China_MotorBike:000004,0,1,0,0
train,train,China_MotorBike_000468.jpg,China_MotorBike,468,China_MotorBike:000004,1,0,0,0
train,train,China_MotorBike_000469.jpg,China_MotorBike,469,China_MotorBike:000004,3,3,0,0
train,val,China_MotorBike_000470.jpg,China_MotorBike,470,China_MotorBike:000004,2,2,0,0
train,train,China_MotorBike_000471.jpg,China_MotorBike,471,China_MotorBike:000004,4,2,0,0
train,train,China_MotorBike_000472.jpg,China_MotorBike,472,China_MotorBike:000004,0,1,0,0
